id;title;description;start;end
1;Via Louisiana Markets;Open-architected copy Portugal;2020-02-02T12:19:49;2020-02-02T04:21:33
2;Computer Metrics;Plastic Music Electronics;2020-02-02T05:23:58;2020-02-01T23:47:25
3;Customer Rwanda;Markets back-end Field;2020-02-02T11:13:28;2020-02-01T22:04:09
4;bypass;Quality;2020-02-02T08:38:15;2020-02-02T10:24:18
5;strategize Garden;digital;2020-02-01T19:18:59;2020-02-02T01:30:59
6;RAM RAM programming;Sharable;2020-02-02T09:02:27;2020-02-02T12:45:13
7;Concrete compressing payment;Division;2020-02-02T08:44:38;2020-02-02T05:03:07
8;Manat;Branding parse holistic;2020-02-01T22:17:11;2020-02-02T08:46:30
9;Strategist deposit Mouse;action-items task-force;2020-02-01T19:26:56;2020-02-01T21:07:31
10;Data Buckinghamshire Cayman Islands;Regional task-force;2020-02-01T20:07:29;2020-02-01T22:07:01
