id;tag;latitude;longitude;max_height;max_volume;max_humidity;max_pressure
1;Forward attitude Ridges;48033;88098;93167;14428;35945;26403
2;deliverables transmitter;59014;97853;56624;25021;40941;12841
3;Designer Parks Associate;17421;43702;19431;7344;46789;31923
4;program CSS;10950;91550;20464;90482;39244;80825
5;input Burundi;60596;61265;99917;56371;73912;90085
6;Rhode Island Expressway;68994;49157;78427;10214;64297;62394
7;multi-byte index;75673;71210;54015;20300;91102;37439
8;Flats olive Generic Rubber Car;8321;94226;1756;16191;1172;82063
9;protocol Cotton digital;24560;10089;61089;54167;58718;19783
10;Chilean Peso Unidades de fomento enterprise;38788;28285;20124;7527;98849;4772
